,t,msd
428,42.8,24.666515
429,42.9,24.719284
430,43.0,24.757128
431,43.1,24.796175
432,43.2,24.839575
433,43.3,24.882738
434,43.4,24.931505
435,43.5,24.99246
436,43.6,25.018063
437,43.7,25.057833
438,43.8,25.084402
439,43.9,25.127682
440,44.0,25.172562
441,44.1,25.192858
442,44.2,25.20564
443,44.3,25.224257
444,44.4,25.243595
445,44.5,25.28129
446,44.6,25.310959
447,44.7,25.34265
448,44.8,25.356674
449,44.9,25.377981
450,45.0,25.40637
451,45.1,25.423128
452,45.2,25.456978
453,45.3,25.485916
454,45.4,25.505617
455,45.5,25.529736
456,45.6,25.566439
457,45.7,25.596104
458,45.8,25.632198
459,45.9,25.664858
460,46.0,25.698973
461,46.1,25.742825
462,46.2,25.792225
463,46.3,25.82922
464,46.4,25.875898
465,46.5,25.931074
466,46.6,25.95816
467,46.7,25.98187
468,46.8,26.032446
469,46.9,26.082132
470,47.0,26.12028
471,47.1,26.153784
472,47.2,26.169973
473,47.3,26.215252
474,47.4,26.272375
475,47.5,26.320587
476,47.6,26.364777
477,47.7,26.41429
478,47.8,26.457127
479,47.9,26.492426
480,48.0,26.53188
481,48.1,26.582174
482,48.2,26.625813
483,48.3,26.661367
484,48.4,26.679626
485,48.5,26.702456
486,48.6,26.734335
487,48.7,26.782066
488,48.8,26.802252
489,48.9,26.837593
490,49.0,26.896275
491,49.1,26.94813
492,49.2,26.98833
493,49.3,27.031391
494,49.4,27.059687
495,49.5,27.103468
496,49.6,27.130882
497,49.7,27.155312
498,49.8,27.175417
499,49.9,27.21121
500,50.0,27.268053
501,50.1,27.30997
502,50.2,27.333117
503,50.3,27.349947
504,50.4,27.362812
505,50.5,27.393799
506,50.6,27.42335
507,50.7,27.461512
508,50.8,27.495783
509,50.9,27.522524
510,51.0,27.55862
511,51.1,27.57542
512,51.2,27.590649
513,51.3,27.602959
514,51.4,27.627829
515,51.5,27.665962
516,51.6,27.694878
517,51.7,27.738342
518,51.8,27.782692
519,51.9,27.828085
520,52.0,27.863506
521,52.1,27.890078
522,52.2,27.91091
523,52.3,27.946196
524,52.4,27.981716
525,52.5,28.010174
526,52.6,28.038721
527,52.7,28.058548
528,52.8,28.079298
529,52.9,28.1077
530,53.0,28.115826
531,53.1,28.134094
532,53.2,28.167
533,53.3,28.207813
534,53.4,28.236725
535,53.5,28.25558
536,53.6,28.287882
537,53.7,28.312212
538,53.8,28.317085
539,53.9,28.332312
540,54.0,28.35139
541,54.1,28.37325
542,54.2,28.394577
543,54.3,28.42187
544,54.4,28.438164
545,54.5,28.457785
546,54.6,28.490515
547,54.7,28.51718
548,54.8,28.539696
549,54.9,28.57053
550,55.0,28.602169
551,55.1,28.63513
552,55.2,28.664837
553,55.3,28.678598
554,55.4,28.70472
555,55.5,28.744999
556,55.6,28.770859
557,55.7,28.806536
558,55.8,28.821215
559,55.9,28.834942
560,56.0,28.845518
561,56.1,28.859076
562,56.2,28.879715
563,56.3,28.90789
564,56.4,28.936447
565,56.5,28.975073
566,56.6,29.010635
567,56.7,29.034323
568,56.8,29.058065
569,56.9,29.105087
570,57.0,29.13199
571,57.1,29.135475
572,57.2,29.156763
573,57.3,29.18219
574,57.4,29.184692
575,57.5,29.196419
576,57.6,29.216822
577,57.7,29.244318
578,57.8,29.253485
579,57.9,29.26509
580,58.0,29.28191
581,58.1,29.290882
582,58.2,29.278534
583,58.3,29.281326
584,58.4,29.285381
585,58.5,29.295149
586,58.6,29.315804
587,58.7,29.32829
588,58.8,29.350773
589,58.9,29.37446
590,59.0,29.39339
591,59.1,29.41466
592,59.2,29.44083
593,59.3,29.454884
594,59.4,29.468975
595,59.5,29.480478
596,59.6,29.500412
597,59.7,29.530077
598,59.8,29.545452
599,59.9,29.541641
600,60.0,29.527517
601,60.1,29.544563
602,60.2,29.556654
603,60.3,29.562275
604,60.4,29.591127
605,60.5,29.610977
606,60.6,29.639685
607,60.7,29.6522
608,60.8,29.671692
609,60.9,29.696787
610,61.0,29.716438
611,61.1,29.749866
612,61.2,29.78786
613,61.3,29.816462
614,61.4,29.83633
615,61.5,29.855381
616,61.6,29.847034
617,61.7,29.858131
618,61.8,29.87848
