t,msd
922,907.5849
923,908.66534
924,909.71716
925,910.7764
926,911.834
927,912.87616
928,913.93115
929,914.98425
930,916.0339
931,917.0701
932,918.08545
933,919.07855
934,920.086
935,921.09796
936,922.09186
937,923.0894
938,924.0782
939,925.04926
940,926.02496
941,927.0109
942,928.01697
943,929.0016
944,929.9895
945,930.98505
946,931.9853
947,932.98846
948,933.9821
949,934.99286
950,935.99084
951,936.98145
952,937.97876
953,938.98517
954,940.02075
955,941.06805
956,942.10706
957,943.16113
958,944.2333
959,945.3139
960,946.3985
961,947.48737
962,948.5725
963,949.64825
964,950.7423
965,951.8141
966,952.8912
967,953.95746
968,955.01086
969,956.06964
970,957.14307
971,958.20435
972,959.2771
973,960.3399
974,961.42084
975,962.51324
976,963.5756
977,964.64276
978,965.7256
979,966.8023
980,967.87415
981,968.94836
982,970.02704
983,971.0915
984,972.16547
985,973.2208
986,974.26917
987,975.30206
988,976.3391
989,977.37695
990,978.416
991,979.4681
992,980.512
993,981.5294
994,982.53204
995,983.51154
996,984.4778
997,985.4625
998,986.4406
999,987.4371
